Country,FechasF,AD,Years,Months,Days
 Qatar,1878-12-18,2022-05-31,143,1721,52394
 Qatar,1971-12-18,2022-05-31,50,605,18427
 Queensland,1859-12-10,2022-05-31,162,1949,59342
 Romania,1877-05-09,2022-05-31,145,1740,52982
 Russia,1992-06-12,2022-05-31,29,359,10945
 Rwanda,1962-07-01,2022-05-31,59,718,21884
 Saint Kitts and Nevis,1983-09-19,2022-05-31,38,464,14134
 Saint Lucia,1979-02-22,2022-05-31,43,519,15804
 Saint Vincent and the Grenadines,1979-10-27,2022-05-31,42,511,15557
 Samoa,1962-06-01,2022-05-31,59,719,21914
 São Tomé and Príncipe,1975-07-12,2022-05-31,46,562,17125
 Saudi Arabia,1932-09-23,2022-05-31,89,1076,32757
 Senegal,1960-04-04,2022-05-31,62,745,22702
 Serbia,1804-02-15,2022-05-31,218,2619,79729
 Seychelles,1976-06-29,2022-05-31,45,551,16772
 Sierra Leone,1961-04-27,2022-05-31,61,733,22314
 Singapore,1965-08-09,2022-05-31,56,681,20749
 Slovakia,1992-07-17,2022-05-31,29,358,10910
 Solomon Islands,1978-07-07,2022-05-31,43,526,16034
 Somalia,1960-07-01,2022-05-31,61,742,22614
 Somaliland,1991-05-18,2022-05-31,31,372,11336
 South Africa,1931-12-11,2022-05-31,90,1085,33044
 South Sudan,2011-07-09,2022-05-31,10,130,3979
 Spain,1492-10-12,2022-05-31,529,6355,193444
 Sri Lanka,1948-02-04,2022-05-31,74,891,27145
 Sudan,1956-01-01,2022-05-31,66,796,24257
 Suriname,1975-11-25,2022-05-31,46,558,16989
 Sweden,1905-06-06,2022-05-31,116,1403,42728
  Switzerland,1291-08-01,2022-05-31,730,8769,266930
 Syria,1946-04-17,2022-05-31,76,913,27803
 Tajikistan,1991-09-09,2022-05-31,30,368,11222
 Tanzania,1961-12-09,2022-05-31,60,725,22088
 Togo,1960-04-27,2022-05-31,62,745,22679
 Tonga,1970-06-04,2022-05-31,51,623,18989
 Trinidad and Tobago,1962-08-31,2022-05-31,59,717,21823
 Tunisia,1956-03-20,2022-05-31,66,794,24178
 Turkey,1923-10-29,2022-05-31,98,1183,36009
 Turkmenistan,1991-09-27,2022-05-31,30,368,11204
 Tuvalu,1978-10-01,2022-05-31,43,523,15948
 Uganda,1962-10-09,2022-05-31,59,715,21784
 Ukraine,1991-08-24,2022-05-31,30,369,11238
 Ukraine,1919-01-22,2022-05-31,103,1240,37750
 United Arab Emirates,1971-12-02,2022-05-31,50,605,18443
 United States,1776-07-04,2022-05-31,245,2950,89815
 Uruguay,1825-08-25,2022-05-31,196,2361,71867
 Uzbekistan,1991-09-01,2022-05-31,30,368,11230
 Vanuatu,1980-07-30,2022-05-31,41,502,15280
  Vatican City,1929-02-11,2022-05-31,93,1119,34077
 Venezuela,1811-07-05,2022-05-31,210,2530,77032
 Vietnam,1945-09-02,2022-05-31,76,920,28030
 Yemen,1967-11-30,2022-05-31,54,654,19906
 Zambia,1964-10-24,2022-05-31,57,691,21038
 Zimbabwe,1980-04-18,2022-05-31,42,505,15383
